Age,Area,CreditAvlb,Firsthand,FloorCount,FloorNumber,Frontage,Fuel,Furniture,Heating,MaintenanceFee,Price,Room,Town,Typeofit
0,240,Uygun,Sıfır,15,15,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),250,1200000,5,Keçiören,Daire
2,190,Uygun,İkinci El,11,9,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),,799000,5,Etimesgut,Daire
3,300,Uygun,İkinci El,3,3,"Güney,Batı",Doğalgaz,Eşyalı Değil,Kombi,60,448000,5,Etimesgut,Daire
0,412,Uygun,,14,13,,,Eşyalı Değil,Kombi,,975000,6,Pursaklar,Daire
0,206,Uygun,,14,10,,,Eşyalı Değil,Kombi,,590000,5,Pursaklar,Daire
18,245,Uygun,İkinci El,3,3,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,50,415000,5,Çankaya,Daire
35,185,Uygun,İkinci El,3,3,"Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,70,525000,5,Çankaya,Daire
40,90,Uygun,İkinci El,3,Giriş Katı,"Güney,Batı",Doğalgaz,Eşyalı Değil,Merkezi,325,225000,3,Çankaya,Daire
15,145,Uygun,İkinci El,4,4,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Kombi,50,479000,4,Çankaya,Daire
0,205,Uygun,İkinci El,15,15,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),100,549000,5,Keçiören,Daire
20,76,Uygun,İkinci El,7,7,,Doğalgaz,Eşyalı Değil,Merkezi,120,195000,3,Çankaya,Daire
0,215,Uygun,Sıfır,14,12,"Güney,Doğu",Doğalgaz,Eşyalı Değil,Merkezi (Pay Ölçer),150,590000,5,Keçiören,Daire
0,180,Uygun,Sıfır,9,1,"Kuzey,Güney,Doğu,Batı",Doğalgaz,Eşyalı Değil,Kombi,,719000,5,Etimesgut,Daire
40,95,Uygun,,6,4,,Doğalgaz,Eşyalı Değil,Merkezi,250,290000,3,Çankaya,Daire
30,85,Uygun değil,,4,Bahçe Katı,,Doğalgaz,Eşyalı Değil,Kombi,,130000,3,Çankaya,Daire
